imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name
tt23556906,tvSeries,The Most Beautiful Flower,The Most Beautiful Flower,2022,2022,30,6.1,298.0,Netflix,13,23556906,214454,,5246010,10552385,2083354,7020801,5252090,4111540,Comedy,,Salvador Espinosa,Michelle Rodríguez,
tt18482892,tvSeries,Alpha Males,Alpha Males,2022,0,30,7.4,4942.0,Netflix,18,18482892,215092,"('Alberto Caballero', 'Laura Caballero')",1461377,1659900,2504347,1659900,,,Comedy,,Laura Caballero,,
tt11988676,tvMiniSeries,Hot Skull,Hot Skull,2022,2022,60,7.1,7140.0,Netflix,18,11988676,212818,Mert Baykal,1729063,11430342,7025801,1729063,0876834,,Adventure,Drama,Mert Baykal,Umur Turagay,
tt22297578,tvSeries,Cat,Cat,2022,0,45,8.2,12552.0,Netflix,7,22297578,65334,"('Thomas Astruc', 'Jeremy Zag')",3791797,8858219,9238697,8858219,12993993,3791797,Crime,Drama,Balwinder Singh Janjua,Jimmy Singh,
tt24749054,tvSeries,Live to Lead,Live to Lead,2022,0,30,4.7,1057.0,Netflix,14,24749054,216797,,\N,,,3390668,,,Documentary,,Geoff Blackwell,,
tt15285844,tvSeries,Irreverent,Irreverent,2022,2022,46,7.0,1412.0,Netflix,14,15285844,156989,Paddy Macrae,5892080,4854061,5625721,2724928,0855300,,Comedy,Crime,Lucy Gaffy,Jonathan Teplitzky,
tt23826740,tvMiniSeries,Don't Pick Up the Phone,Don't Pick Up the Phone,2022,2022,143,6.7,2734.0,Netflix,18,23826740,215117,Sara Mast,\N,,,0557591,,,Crime,Documentary,Sara Mast,,
tt23897214,tvSeries,Brown and Friends,Brown and Friends,2022,0,15,8.4,82.0,Netflix,7,23897214,215586,Seth Kearsley,1049957,10012315,7032871,10012315,0444054,2264304,Animation,Comedy,Andrea Cristini,Seth Kearsley,
tt15438246,tvMiniSeries,Kaleidoscope,Kaleidoscope,2023,2023,373,6.6,42491.0,Netflix,18,15438246,156902,Eric Garcia,1201715,3780114,2422433,0021772,0277655,0332740,Action,Crime,Mairzee Almas,Russell Lee Fine,
tt15525658,tvMiniSeries,Lady Voyeur,Lady Voyeur,2023,2023,38,5.1,2081.0,Netflix,18,15525658,135814,Marcela Citterio,0162946,7603724,2037987,12238077,2274510,0684652,Drama,Mystery,Luciana de Oliveira,Luciana Oliveira,
tt16427924,tvMiniSeries,The Endless Night,The Endless Night,2023,2023,214,7.6,1403.0,Netflix,18,16427924,139396,Gustavo Lipsztein,8699228,0003758,,2365786,2510197,,Crime,Drama,Julia Rezende,Carol Minêm,
tt15787870,tvMiniSeries,The Snow Girl,The Snow Girl,2023,2023,273,6.8,7603.0,Netflix,18,15787870,215333,,12741030,4257439,7343902,1847762,0023361,,Crime,Drama,David Ulloa,Laura Alvea,
tt23732458,tvMiniSeries,Madoff: The Monster of Wall Street,Madoff: The Monster of Wall Street,2023,2023,249,7.3,6914.0,Netflix,18,23732458,216005,,\N,,,0075666,,,Crime,Documentary,Joe Berlinger,,
