Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
90,tt6288124,2020-08-18,2020-08-18,,"Don't Worry, He Won't Get Far on Foot",https://www.imdb.com/title/tt6288124/,movie,6.8,114,2018,"Biography, Comedy, Drama",29889,2018-01-19,Gus Van Sant
91,tt6010628,2020-08-18,2020-08-18,,Zoe,https://www.imdb.com/title/tt6010628/,movie,6.1,104,2018,"Drama, Romance, Sci-Fi",10081,2018-04-21,Drake Doremus
92,tt5989218,2020-08-18,2020-08-18,,Life Itself,https://www.imdb.com/title/tt5989218/,movie,6.9,117,2018,"Drama, Romance",24094,2018-09-08,Dan Fogelman
93,tt1226837,2020-08-18,2020-08-18,,Beautiful Boy,https://www.imdb.com/title/tt1226837/,movie,7.4,120,2018,"Biography, Drama",93770,2018-09-07,Felix van Groeningen
94,tt1034415,2020-08-18,2020-08-18,,Suspiria,https://www.imdb.com/title/tt1034415/,movie,6.7,152,2018,"Drama, Fantasy, Horror, Mystery, Thriller",89404,2018-09-01,Luca Guadagnino
95,tt6543652,2020-08-18,2020-08-18,,Zimna wojna,https://www.imdb.com/title/tt6543652/,movie,7.5,89,2018,"Drama, Music, Romance",61046,2018-05-10,Pawel Pawlikowski
96,tt4614612,2020-08-18,2020-08-18,,Peterloo,https://www.imdb.com/title/tt4614612/,movie,6.5,154,2018,"Drama, History",5347,2018-09-01,Mike Leigh
97,tt8858104,2020-08-18,2020-08-18,,Guava Island,https://www.imdb.com/title/tt8858104/,movie,6.6,55,2019,"Comedy, Drama, Music, Musical, Thriller",11569,2019-04-13,Hiro Murai
98,tt7778680,2020-08-18,2020-08-18,,Photograph,https://www.imdb.com/title/tt7778680/,movie,6.8,110,2019,"Drama, Romance",5711,2019-01-27,Ritesh Batra
99,tt6107548,2020-08-18,2020-08-18,,Late Night,https://www.imdb.com/title/tt6107548/,movie,6.5,102,2019,"Comedy, Drama",40196,2019-01-25,Nisha Ganatra
100,tt8923482,2020-08-18,2020-08-18,,Born in China,https://www.imdb.com/title/tt8923482/,movie,7.5,83,2019,"Documentary, History",7050,2019-01-26,"Jialing Zhang, Nanfu Wang"
101,tt7671064,2020-08-18,2020-08-18,,Brittany Runs a Marathon,https://www.imdb.com/title/tt7671064/,movie,6.8,104,2019,"Comedy, Drama",21813,2019-01-28,Paul Downs Colaizzo
102,tt3864056,2020-08-18,2020-08-18,,The Goldfinch,https://www.imdb.com/title/tt3864056/,movie,6.4,149,2019,"Crime, Drama",26305,2019-09-08,John Crowley
103,tt8151874,2020-08-18,2020-08-18,,Honey Boy,https://www.imdb.com/title/tt8151874/,movie,7.2,94,2019,Drama,40219,2019-01-25,Alma Har'el
104,tt8236336,2020-08-18,2020-08-18,,The Report,https://www.imdb.com/title/tt8236336/,movie,7.2,119,2019,"Biography, Crime, Drama, History, Thriller",48914,2019-01-26,Scott Z. Burns
105,tt6141246,2020-08-18,2020-08-18,,The Aeronauts,https://www.imdb.com/title/tt6141246/,movie,6.6,100,2019,"Action, Adventure, Drama, Romance",36587,2019-08-30,Tom Harper
106,tt1780967,2020-08-18,2020-08-18,,Seberg,https://www.imdb.com/title/tt1780967/,movie,6.0,102,2019,"Biography, Drama, Thriller",10099,2019-08-30,Benedict Andrews
107,tt10199590,2020-08-18,2020-08-18,,Les misérables,https://www.imdb.com/title/tt10199590/,movie,7.6,104,2019,"Crime, Drama, Thriller",27680,2019-05-15,Ladj Ly
108,tt2404465,2020-08-18,2020-08-18,,Troop Zero,https://www.imdb.com/title/tt2404465/,movie,6.9,94,2019,"Comedy, Drama, Family",11952,2019-02-01,"Bert, Bertie Ellwood"
109,tt8759834,2020-08-18,2020-08-18,,Selah and the Spades,https://www.imdb.com/title/tt8759834/,movie,5.1,97,2019,Drama,1330,2019-01-27,Tayarisha Poe
110,tt6803046,2020-08-18,2020-08-18,,The Vast of Night,https://www.imdb.com/title/tt6803046/,movie,6.7,91,2019,"Drama, Mystery, Sci-Fi, Thriller",43762,2019-01-26,Andrew Patterson
111,tt6436726,2020-08-18,2020-08-18,,7500,https://www.imdb.com/title/tt6436726/,movie,6.3,93,2019,"Action, Drama, Thriller",31929,2019-08-09,Patrick Vollrath
112,tt8242084,2020-08-18,2020-08-18,,My Spy,https://www.imdb.com/title/tt8242084/,movie,6.3,99,2020,"Action, Comedy",33778,2020-01-09,Peter Segal
113,tt6017756,2020-08-18,2020-08-18,,Radioactive,https://www.imdb.com/title/tt6017756/,movie,6.3,109,2019,"Biography, Drama, Romance",20942,2019-09-06,Marjane Satrapi
114,tt5843876,2020-08-18,2020-08-18,,Chemical Hearts,https://www.imdb.com/title/tt5843876/,movie,6.3,93,2020,"Drama, Romance",15850,2020-08-21,Richard Tanne
115,tt9735758,2020-08-18,2020-08-18,,Boyz in the Wood,https://www.imdb.com/title/tt9735758/,movie,6.2,87,2019,"Comedy, Horror, Music",8394,2019-03-08,Ninian Doff
116,tt12538822,2020-08-18,2020-08-18,,All In: The Fight for Democracy,https://www.imdb.com/title/tt12538822/,movie,7.0,102,2020,Documentary,2044,2020-09-09,"Liz Garbus, Lisa Cortes"
117,tt12298506,2020-08-18,2020-08-18,,Black Box,https://www.imdb.com/title/tt12298506/,movie,6.2,100,2020,"Horror, Mystery, Sci-Fi, Thriller",16729,2020-10-06,Emmanuel Osei-Kuffour
118,tt7945440,2020-08-18,2020-08-18,,The Lie,https://www.imdb.com/title/tt7945440/,movie,5.8,97,2018,"Drama, Thriller",19424,2018-09-13,Veena Sud
119,tt13143964,2020-10-24,2020-10-24,,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,https://www.imdb.com/title/tt13143964/,movie,6.6,95,2020,Comedy,150566,2020-10-23,Jason Woliner
120,tt2306299,2021-02-10,2021-02-10,,Vikings,https://www.imdb.com/title/tt2306299/,tvSeries,8.5,44,2013,"Action, Adventure, Drama, History, Romance, War",569057,2013-03-03,
