imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt5122514,tvSeries,RocketJump: The Show,RocketJump: The Show,2015,2016,30,"Action,Comedy",7.1,176.0,Hulu,"nm2312117,nm3807502,nm5080673,nm3950075,nm3087799","nm2312117,nm4546045,nm3950075,nm5094166,nm4973231",,5122514,65781.0
tt11203896,tvSeries,VICE Investigates,VICE Investigates,2019,0,0,Documentary,7.0,103.0,Hulu,nm2448288,\N,,11203896,95088.0
tt1826909,tvSeries,The Morning After,The Morning After,2011,0,5,"Short,Talk-Show",7.2,99.0,Hulu,"nm3475882,nm1878342,nm4519246,nm0006802,nm3068010,nm4436863,nm3006046,nm0366612,nm1260607","nm2019720,nm5606517,nm3068010,nm2952462,nm4215903,nm1260607,nm0324330,nm2668086,nm4436863,nm0002123,nm0366612,nm3838766,nm1443120,nm2842124,nm5204249,nm0454020,nm2603028,nm1878342,nm3006046,nm4519246,nm3817196,nm5423900,nm5086142,nm3331919,nm3475882",,1826909,39177.0
tt10404664,tvSeries,Zomboat!,Zomboat!,2019,2019,30,"Comedy,Horror,Sci-Fi",7.0,2123.0,Hulu,nm1034489,"nm3516042,nm1034489,nm1230244",,10404664,94421.0
tt10193046,tvSeries,Utopia Falls,Utopia Falls,2020,2020,60,"Drama,Music,Sci-Fi",5.3,2049.0,Hulu,"nm4207591,nm1275939,nm1284464,nm0840075","nm7215052,nm0540695,nm4207591,nm3697320,nm1563150,nm1237528,nm8354853,nm1289249,nm3625887",,10193046,97559.0
tt5788812,tvMiniSeries,Crow's Blood,Crow's Blood,2016,2016,39,"Drama,Horror,Sci-Fi",6.6,222.0,Hulu,"nm2277508,nm1600160","nm6901643,nm0015340",,5788812,74531.0
tt5094726,tvSeries,High & Low: The Story of S.W.O.R.D.,High & Low: The Story of S.W.O.R.D.,2015,0,0,Action,7.8,363.0,Hulu,"nm8093048,nm6138921,nm2764304,nm0945369",\N,,5094726,70214.0
tt7381954,tvMiniSeries,You Are Tender When It Rains,You Are Tender When It Rains,2017,2017,0,"Drama,Romance",5.9,10.0,Hulu,\N,nm1159897,,7381954,73435.0
tt6115012,tvMiniSeries,Inspector Zenigata,Inspector Zenigata,2017,2017,54,"Action,Comedy,Crime",6.7,25.0,Hulu,"nm0412541,nm5112567,nm2277508,nm2039774,nm5243250","nm0700578,nm5130958,nm4489278,nm2668432,nm0645256,nm1078073",,6115012,88175.0
tt11176048,tvSeries,Earth to Ned,Earth to Ned,2020,0,30,"Comedy,Sci-Fi,Talk-Show",6.6,424.0,Disney,"nm0496417,nm0827868","nm2287168,nm7153883,nm2849922,nm6009984,nm1702086,nm1982901,nm2804127,nm4696339",,11176048,94883.0
tt12578922,tvMiniSeries,SparkShorts,SparkShorts,2019,2021,8,"Animation,Comedy,Drama",7.8,959.0,Disney,"nm2936920,nm1734334,nm3986416,nm1852970,nm3300040,nm0403051,nm1490791,nm6461347","nm2936920,nm1734334,nm3986416,nm1852970,nm3300040,nm1027302,nm2866594,nm0403051,nm1490791,nm6461347",,12578922,242486.0
tt14465474,tvSeries,Launchpad,Launchpad,2021,0,21,"Drama,Short",6.8,225.0,Disney,"nm9276804,nm8639451,nm5648011,nm6613322,nm5998017,nm5501302,nm4541221,nm9184325","nm9276804,nm8639451,nm5648011,nm6613322,nm5998017,nm7761823,nm5501302,nm13934336",,14465474,1143516.0
