imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,origin_country,actors,creator/actor?
tt8462412,tvSeries,Northern Rescue,Northern Rescue,2019,2019,45,6.9,4703,Netflix,14,8462412,87172,3223750,138498,2045622,909568,367523,512052,Drama,Family,Bradley Walsh,Gail Harvey,Bradley Walsh,Mark Bacci,Caitlin Carmody,Mika Collins,44,0.828,0.6,0.6,2.231,2.391,2.231,93.535,10,1,1.4801666666666666,en,['CA'],"('William Baldwin', 'Kathleen Robertson')",0
tt7371896,tvSeries,Traitors,Traitors,2019,2019,60,6.6,3818,Netflix,18,7371896,86733,1096313,1538188,5885049,909608,1577262,909608,History,Thriller,Dearbhla Walsh,Alex Winckler,Dearbhla Walsh,Bathsheba Doran,Emily Ballou,Tracey Scott Wilson,45,1.586,0.6,1.176,4.637,0.6,4.637,54.914,6,1,2.206,en,['GB'],"('Emma Appleton', 'Keeley Hawes')",0
tt8027624,tvSeries,Tijuana,Tijuana,2019,2019,45,7.0,368,Netflix,14,8027624,88189,1298864,3102104,1217514,2018004,4652014,889829,Crime,Drama,Hammudi Al-Rahmoun Font,Clara Roquet,Hammudi Al-Rahmoun Font,Iván Cuevas,Zayre Ferrer,Rodrigo Ordoñez,40,0.6,0.6,1.96,0.6,0.917,0.6,26.816,11,1,0.8795000000000001,es,['MX'],"('Tamara Vallarta', 'Damián Alcázar')",0
tt10405394,tvSeries,Designated Survivor: 60 Days,Designated Survivor: 60 Days,2019,2019,70,8.1,1644,Netflix,16,10405394,86824,3686177,3686177,3686177,6111381,6111381,6111381,Drama,Thriller,Jong Sun Yoo,Jong Sun Yoo,Jong Sun Yoo,Tae Hee Kim,Tae Hee Kim,Tae Hee Kim,75,7.748,7.748,7.748,0.694,0.694,0.694,30.049,16,1,4.221,ko,['KR'],"('Ji Jin-hee', 'Heo Joon-ho')",0
tt5952634,tvMiniSeries,The Spy,The Spy,2019,2019,53,7.9,48033,Netflix,18,5952634,91725,199036,13844159,1356268,1356268,1356268,1356268,Drama,History,Gideon Raff,Gideon Raff,Gideon Raff,Uri Dan,Yeshayahu Ben Porat,Gideon Raff,54,0.6,0.6,4.82,4.82,4.82,4.82,48.799,6,1,3.4133333333333336,en,['FR'],"('Sacha Baron Cohen', 'Noah Emmerich')",0
tt8476166,tvSeries,Drug Squad: Costa del Sol,Drug Squad: Costa del Sol,2019,2019,0,6.8,690,Netflix,18,8476166,89171,7727481,1639945,60275,1193612,60275,2332233,Action,Crime,Miguel Alcantud,Fernando Bassi,Miguel Alcantud,Jorge Hernández,Pablo Barrera,Fernando Bassi,70,0.6,0.84,0.6,0.6,0.6,0.6,21.454,13,1,0.64,es,['ES'],"('Sara Sálamo', 'Hugo Silva')",0
tt9050352,tvMiniSeries,The Bonfire of Destiny,The Bonfire of Destiny,2019,2019,48,7.6,6095,Netflix,18,9050352,93742,708084,708509,819641,1555912,1555912,1555912,Drama,History,Alexandre Laurent,Alexandre Laurent,Alexandre Laurent,Catherine Ramberg,Yves Ramonet,Karin Spreuzkouski,52,0.6,0.6,0.6,0.6,0.6,0.6,36.449,8,1,0.6,fr,['FR'],"('Audrey Fleurot', 'Camille Lou')",0
tt9139220,tvMiniSeries,Dracula,Dracula,2020,2020,270,6.8,51853,Netflix,14,9139220,58928,309693,595590,831290,132600,2270017,6476,Action,Drama,Jonny Campbell,Damon Thomas,Jonny Campbell,Mark Gatiss,Steven Moffat,Bram Stoker,45,10.446,5.255,2.318,2.629,1.722,2.629,77.86,10,1,4.1665,en,"['US', 'GB']","('Jonathan Rhys Meyers', 'Jessica De Gouw')",0
tt8001106,tvMiniSeries,Giri/Haji,Giri/Haji,2019,2019,461,7.8,16206,Netflix,18,8001106,94659,3620967,3620967,3620967,267497,1271464,267497,Crime,Drama,Julian Farino,Ben Chessell,Julian Farino,Joe Barton,Joe Barton,Joe Barton,58,1.319,1.319,1.319,2.105,0.6,2.105,50.112,8,1,1.4611666666666665,en,['GB'],"('Takehiro Hira', 'Kelly Macdonald')",0
tt9100822,tvSeries,The Valhalla Murders,The Valhalla Murders,2019,2020,50,7.1,16236,Netflix,18,9100822,97405,10178949,4684113,861197,4684113,5008202,1884004,Crime,Drama,Thordur Palsson,Thora Hilmarsdottir,Thordur Palsson,Ottar Nordfjord,Thordur Palsson,Kristinn Thordarson,45,0.6,0.6,0.98,0.6,0.6,0.6,38.54,8,1,0.6633333333333333,is,['IS'],"('Nína Dögg Filippusdóttir', 'Björn Thors')",0
