imdb_id,tmdb_id,Title,titleType,startYear,endYear,Streamer,Age,genre_1,genre_2,creator/actor?,origin_language,director_1_name,director_2_name,originalTitle,writer_1_imdb#,writer_2_imdb#,writer_3_imdb#,director_1_imdb#,director_2_imdb#,director_3_imdb#,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,first_country,second_country,actor_1_pop,actor_2_pop,actor_1_name,actor_2_name,cast_pop,team_popularity,imdb_rating,imdb_no_votes,total_popularity
3314218,62335,UnREAL,tvSeries,2015,2018,Hulu,14,Drama,Drama,0,en,Peter O'Fallon,Shiri Appleby,UnREAL,637497,1332232,2325207,640964,32375,813313,Peter O'Fallon,Marti Noxon,Sarah Gertrude Shapiro,Ariana Jackson,43,4.0,1.0,0.8,2.2,10.6,2.2,129.9,38,4,US,US,34.1,22.0,Shiri Appleby, Constance Zimmer,28.1,3.5,7.8,15345,4.7
412253,1432,Veronica Mars,tvSeries,2004,2019,Hulu,14,Crime,Drama,0,en,Michael Lehmann,Jason Bloom,Veronica Mars,859432,459237,256722,499724,89176,934863,Michael Lehmann,Rob Thomas,Phil Klemmer,John Enbom,42,1.9,2.1,2.0,4.1,1.8,4.1,157.0,72,4,US,US,72.8,33.7,Kristen Bell, Enrico Colantoni,53.2,2.7,8.4,77200,5.16
5093964,45860,Fujiko,tvMiniSeries,2015,0,Hulu,18,Thriller,Thriller,0,ja,Kazuyuki Iwata,Shôsuke Murakami,Fujiko,7637722,2107329,7637722,3648402,1233600,3648402,Kazuyuki Iwata,Yukiko Mari,Izumi Takahashi,Yukiko Mari,23,0.6,1.7,0.6,1.4,1.9,1.4,34.9,13,1,JP,JP,50.2,15.6,Miyuki Sawashiro, Kanichi Kurita,32.9,1.3,8.5,23,3.8
4625100,41064,The Last Cop,tvMiniSeries,2015,0,Hulu,13,Action,Action,0,de,Ryûichi Inomata,Hiroto Akashi,The Last Cop,6976307,6976307,6976307,1768187,5553149,3103956,Ryûichi Inomata,Tomoharu Satô,Tomoharu Satô,Tomoharu Satô,42,0.6,0.6,0.6,1.4,0.6,1.4,62.2,60,5,DE,DE,20.4,13.4,Henning Baum, Maximilian Grill,16.9,0.9,7.2,18,3.42
7755494,79347,Miss Sherlock,tvSeries,2018,2018,Hulu,14,Crime,Drama,0,ja,Yûsuke Taki,Jun'ichi Mori,Miss Sherlock,1103129,1894462,5616501,5474421,1103129,9490547,Yûsuke Taki,Jun'ichi Mori,Nobuaki Kotani,Amane Marumo,60,2.4,0.6,0.6,1.8,2.4,1.8,48.8,8,1,JP,JP,12.6,7.2,Yûko Takeuchi, Shihori Kanjiya,9.9,1.6,6.9,1233,3.89
2319283,56817,Moone Boy,tvSeries,2012,2015,Hulu,14,Comedy,Comedy,0,en,Declan Lowney,Ian Fitzgibbon,Moone Boy,614569,1483369,614569,523276,280416,1483369,Declan Lowney,Nick Vincent Murphy,Chris O'Dowd,Nick Vincent Murphy,22,0.7,13.1,0.7,1.9,0.6,1.9,43.2,18,3,IE,IE,46.2,1.8,"""Chris ODowd""", David Rawle,24.0,3.2,8.1,6554,4.52
5571524,67716,National Treasure,tvMiniSeries,2016,2016,Hulu,18,Drama,Drama,0,en,Marc Munden,Marc Munden,National Treasure,2113666,2113666,2113666,612720,612720,612720,Marc Munden,Jack Thorne,Jack Thorne,Jack Thorne,48,3.5,3.5,3.5,1.6,1.6,1.6,68.4,4,1,GB,GB,31.8,59.8,Robbie Coltrane, Julie Walters,45.8,2.5,7.3,3218,4.21
7157494,76277,National Treasure: Kiri,tvMiniSeries,2018,2018,Hulu,0,Crime,Drama,0,en,Euros Lyn,Euros Lyn,National Treasure: Kiri,2113666,6800669,2113666,528186,528186,528186,Euros Lyn,Jack Thorne,Rachel De-Lahay,Jack Thorne,45,3.5,0.6,3.5,2.6,2.6,2.6,45.6,4,1,GB,GB,11.4,31.0,Sarah Lancashire, Lucian Msamati,21.2,2.6,6.7,2940,3.94
6816530,77780,Safe Harbour,tvMiniSeries,2018,2018,Hulu,16,Drama,Drama,0,en,Glendyn Ivin,Glendyn Ivin,Safe Harbour,131675,154677,6048678,1380395,1380395,1380395,Glendyn Ivin,Matt Cameron,Belinda Chayko,Phil Enchelmaier,50,2.5,0.9,0.6,1.9,1.9,1.9,23.3,4,1,AU,AU,10.5,18.9,Ewen Leslie, Leeanna Walsman,14.7,1.6,6.6,1000,3.66
7150060,82199,Find Me in Paris,tvSeries,2018,2020,Hulu,0,Comedy,Drama,0,en,Matt Bloom,Rob Burke,Find Me in Paris,320910,3523308,1432013,1726674,1637400,1964444,Matt Bloom,Jill Girling,Spencer Levine,Lori Mather-Welch,26,0.8,0.6,0.7,6.3,0.8,6.3,135.7,78,3,US,US,14.4,2.0,Jessica Lord, Eubha Akilade,8.2,2.6,6.9,1207,4.04
